,Flight,price_day1,price_day2,price_day3,price_day4,price_day5,price_day6,price_day7,price_day8,price_day9,price_day10,price_day11,price_day12,price_day13,price_day14,price_day15,price_day16,price_day17,price_day18,price_day19,price_day20,price_day21,price_day22,price_day23,price_day24,price_day25,price_day26,price_day27,price_day28,price_day29,price_day30
0,YUL-YYZ,202,208,199,202,208,208,206,207,198,202,201,203,205,202,202,201,206,203,205,200,202,199,203,206,204,208,203,205,205,201
1,YYZ-YUL,198,197,202,198,206,203,206,199,204,198,204,201,195,199,198,197,203,197,204,195,195,200,201,199,198,198,203,199,202,198
2,YUL-YHZ,183,196,185,209,197,237,185,203,239,202,199,247,209,215,178,222,234,191,234,175,179,240,240,195,173,244,220,244,227,240
3,YHZ-YUL,505,541,688,964,653,414,449,859,922,817,725,371,350,833,685,350,562,827,497,501,1016,973,501,1010,823,504,856,622,618,587
4,YUL-YVR,398,316,302,364,283,304,353,316,296,348,353,292,399,297,329,347,284,314,309,305,335,330,357,381,335,393,328,285,354,392
5,YVR-YUL,519,354,431,493,831,375,377,798,846,614,498,310,412,849,846,727,719,870,616,880,730,353,813,561,453,308,817,458,529,551
6,YUL-YOW,644,377,356,323,404,646,328,587,418,608,316,631,341,396,514,397,555,541,582,449,456,484,355,632,477,482,356,447,528,491
7,YOW-YUL,654,634,611,690,667,630,674,670,635,677,664,613,654,663,618,689,686,688,624,685,700,685,687,613,683,649,661,686,653,614
8,YUL-YWG,701,696,714,729,792,710,707,682,699,680,676,700,760,688,695,664,780,666,768,729,777,779,784,727,785,768,709,739,792,701
9,YWG-YUL,411,607,523,690,253,496,611,533,391,534,511,674,442,695,279,284,545,531,267,529,556,291,436,524,349,462,612,509,263,527
10,YUL-YXE,654,449,509,491,296,294,511,360,334,578,656,661,419,687,617,538,473,278,402,638,592,403,381,397,382,594,382,305,488,551
11,YXE-YUL,681,528,469,531,553,682,557,418,634,348,484,450,647,700,530,530,572,356,553,399,646,690,570,462,533,399,326,510,431,469
12,YUL-YYJ,533,536,543,536,531,534,531,550,534,534,530,538,547,534,538,545,539,546,543,540,537,532,547,546,545,543,543,550,539,539
13,YYJ-YUL,487,487,478,494,482,475,487,486,489,471,479,470,461,496,475,497,462,491,465,496,493,471,493,477,494,485,491,482,460,468
14,YUL-YYC,366,358,364,351,360,354,362,360,353,356,352,368,355,358,364,370,366,352,357,370,367,360,360,351,364,360,360,367,363,356
15,YYC-YUL,452,416,439,477,447,366,479,468,473,448,502,496,402,342,395,373,433,499,509,394,435,379,493,432,406,420,406,480,459,423
16,YUL-YEG,405,697,662,734,702,406,571,614,660,442,645,469,557,638,558,383,520,515,684,743,660,497,574,558,680,674,749,460,518,731
17,YEG-YUL,556,263,402,389,580,309,270,279,245,467,308,527,224,351,299,258,543,504,578,480,530,229,245,491,524,263,558,266,371,280
18,YUL-YXY,1180,1274,1135,1114,1019,853,895,1035,872,1047,879,1111,1357,1346,858,1293,1294,1409,1153,1041,1486,1330,863,1387,881,1422,1269,1163,1137,1379
19,YXY-YUL,889,933,1001,886,957,979,889,966,1079,951,1051,1044,1087,811,837,1022,937,966,1051,976,896,902,831,983,865,840,843,870,869,782
20,YUL-YQR,587,728,450,684,270,741,687,288,456,380,340,570,350,427,571,467,319,617,324,445,737,523,484,526,325,631,466,692,732,619
21,YQR-YUL,464,476,487,498,468,464,471,481,478,470,487,469,477,495,466,470,478,477,493,464,476,467,460,473,465,500,489,491,479,493
22,YUL-YZF,776,427,435,430,631,549,515,757,755,477,755,610,687,729,487,570,570,660,556,425,433,435,542,696,708,617,733,512,737,486
23,YZF-YUL,770,773,603,686,800,609,691,556,726,631,552,655,562,595,595,611,624,581,655,769,659,656,781,559,683,786,637,755,774,755
