,purpose_en,start_date,end_date,destination_en,airfare,other_transport,lodging,meals,other_expenses,total,additional_comments_en
409,Meeting for work,2019-06-17,2019-06-21,"Halifax, N.s. & Quebec, Quebec, Canada",1190.9,671.69,917.06,451.5,0.0,3231.15,The flight from Montreal to Quebec City had technical issues and had to return to Montreal - Car rental was arranged to attend the meeting. A credit of $25.00 will be issued by Air Canada
1170,To attend the Western Outreach,2019-07-03,2019-07-16,Vancouver (british Columbia) Canada; Victoria (british Columbia) Canada; Whitehorse (yukon) Canada; Calgary (alberta) Canada; Edmonton (alberta) Canada; Saskatoon (saskatchewan) Canada,3913.46,320.7,2375.51,1067.45,0.0,7677.12,Airfare credit anticipated which will be applied to future travel
1174,To accompany the Minister for an announcement at the Dairy Farmers of Canada Annual General ; To accompany the Minister to the Annual Conference of Federal-Provincial-Territorial Ministers and Deputy Ministers of Agriculture,2019-07-17,2019-07-19,Saskatoon (saskatchewan) Canada; Quebec (quebec) Canada,1908.43,508.7,1134.17,349.8,375.0,4276.1,Other expenses: Conference fee 
1196,To attend the Alberta Outreach,2019-08-12,2019-08-15,Calgary (alberta) Canada; Lethbridge (alberta) Canada,1123.61,37.35,379.46,253.25,157.5,1951.17,Other expenses: Conference fee
1213,Make announcements in Rouyn-Noranda; attend Canada’s Outstanding Young Farmers Gala,2019-08-25,2019-08-27,Rouyn-noranda (quebec) Canada; Montréal (quebec) Canada,1334.74,0.0,381.4,166.45,0.0,1882.59,Air Canada flight was cancelled. A refund will be issued at a later date. 
1215,Accompany the Minister for announcements in Rouyn-Noranda; accompany the Minister to Canada’s Outstanding Young Farmers Gala; accompany the Minister for an announcement in Bedford and Saint-Paul-d'Abbotsford,2019-08-25,2019-08-28,Rouyn-noranda (quebec) Canada; Montréal (quebec) Canada; Bedford (quebec) Canada; Saint-paul-d'abbotsford (quebec) Canada,1300.25,89.76,281.37,204.25,0.0,1875.63,Air Canada flight was cancelled. A refund will be issued at a later date. 
1220,To accompany the Minister for announcements in Rouyn-Noranda; to accompany the Minister to Canada’s Outstanding Young Farmers Gala; to accompany the Minister for an announcement in Bedford and Saint-Paul-d'Abbotsford,2019-08-25,2019-08-28,Rouyn-noranda (quebec) Canada; Montréal (quebec) Canada; Bedford (quebec) Canada; Saint-paul-d'abbotsford (quebec) Canada,1231.26,313.57,518.19,292.3,0.0,2355.32,Air Canada flight was cancelled. A refund will be issued at a later date. 
1249,Attend the Ivey Academy’s Senior Public Sector Leaders Program. Attend an outreach at the Harrow Research and Development Centre.,2019-09-11,2019-09-12,Toronto (ontario) Canada; Harrow (ontario) Canada; Windsor (ontario) Canada,1125.92,137.98,0.0,40.6,0.0,1304.5,Lodging was provided free of charge by the Ivey Leadership Centre who organized the event
1285,Drive the Minister from her riding to an outreach meeting in St-Hyacinthe and then to Ottawa,2020-01-14,2020-01-14,Sherbrooke (quebec) Canada; St-hyacinthe (quebec) Canada,0.0,52.71,0.0,0.0,0.0,52.71,The regular driver for the Minister was on vacation and Emile replaced him for the day.
1552,To accompany the Minister on a Western Outreach,2022-05-23,2022-05-26,Vancouver (british Columbia) Canada; Regina (saskatchewan) Canada,1549.6,57.31,593.21,240.95,0.0,2441.07,No conference fee
1562,Drive the Minister from her riding to the Montréal Airport,2022-05-23,2022-05-23,Sherbrooke (quebec) Canada; Montréal (quebec) Canada,0.0,3.0,0.0,54.4,0.0,57.4,No conference fee
1563,Drive the Minister from the Montréal Airport back to her riding,2022-05-27,2022-05-27,Montréal (quebec) Canada; Sherbrooke (quebec) Canada,0.0,48.0,0.0,0.0,0.0,48.0,No conference fee
1567,Drive the Minister from her riding to the Montréal Airport,2022-06-12,2022-06-12,Sherbrooke (quebec) Canada; Montréal (quebec) Canada,0.0,3.0,0.0,76.3,0.0,79.3,No conference fee
1601,"To attend an Outreach in Manitoba and attend the meetings of Federal, Provincial and Territorial Ministers of Agriculture.",2022-07-17,2022-07-22,Calgary (alberta) Canada; Winnipeg (manitoba) Canada; Saskatoon (saskatchewan) Candada,3030.29,23.39,904.78,273.45,0.0,4231.91,No Conference Fees
1604,Drive the Minister from her riding to the Montréal Airport.,2022-08-10,2022-08-10,Sherbrooke (quebec) Canada; Montréal (quebec) Canada,0.0,3.0,0.0,22.15,0.0,25.15,No conference fee
