,purpose_en,start_date,end_date,destination_en,airfare,other_transport,lodging,meals,other_expenses,total,additional_comments_en
395,Attend various meetings on various dates,2019-04-01,2019-05-30,"Ottawa, On",0.0,0.0,0.0,0.0,950.25,950.25,Parking fees reimbursed for  various dates
397,CCAT Symposium,2019-05-25,2019-05-28,Montréal (quebec) Canada,0.0,241.96,464.1,153.2,-105.0,754.26,Negative amount in Other expenses is due to Mr. Aterman reimbursing ATSSC
404,"Toronto - Cancelled trip 
The hearing was rescheduled at request of the parties",2019-06-21,2019-06-21,Toronto (ontario) Canada,560.07,0.0,0.0,0.0,113.0,673.07,"Porter Credit available is $560.07 
Cancellation Fee is $113.00"
406,CCAT Symposium,2019-05-26,2019-05-28,Montréal (quebec) Canada,0.0,231.33,817.53,223.95,0.0,1272.81,Mr. Covelli was replacing Mrs. Catherine Ebbs
412,"Vancouver - Cancelled trip
Hearing being cancelled at request of parties",2019-07-29,2019-08-02,"Vancouver, Britsh Columbia, Canada",2989.79,0.0,0.0,0.0,0.0,2989.79,"Air Canada Credit available is $2,964.93
HRG STS service fee of $24.86"
417,TATC Hearing Q-4233-35,2019-05-27,2019-05-29,"Montréal, Quebec, Canada",0.0,354.79,284.41,176.5,5.25,820.95,HRG STS hotel booking fee of $5.25 in Other expenses
422,Attend Mediation : T2365/2419,2019-07-16,2019-07-28,"Vancouver, British Columbia, Canada",881.25,191.94,150.0,325.65,0.0,1548.84,Hearing held in Fort Nelson was cancelled  - Central Mountain Air full Credit of $914.81
471,Mediation : T2398/5719 and T2422/8119,2020-02-11,2020-02-14,"Toronto / Mississauga, Ontario, Canada",703.99,94.82,642.82,343.7,0.0,1785.33,A credit of $644.95 was used to book this travel.
480,Annulé - assister au Forum des présidents à Ottawa et assister à une réunion à Patrimoine canadien à Gatineau,2020-02-26,2020-02-26,"Ottawa, Ontario, Canada",22.6,90.77,0.0,0.0,15.14,128.51,"Air Canada credit available is $90.77
Cancellation fee is $15.14"
660," Minister's federal, provincial and territorial meeting.  Regina First Nations session.",2017-07-18,2017-07-24,"Saint John's, Nfld And Regina, Sk",3187.1,73.0,1047.85,387.7,350.0,5045.65,"Personal Expenses from Jul. 21 4:00 pm  to Jul. 23 flights to Regina. Increased cost for airfare in order to meet the Deputy Minister`s request to change flights and last minute addition of the Regina travel portion. 
AJF172395"
788,Western Outreach: Calgary Stampede and Federal Provincial Territorial Conference,2018-07-10,2018-07-20,"Calgary Alberta, Saskatoon Saskatchewan, Victoria British Columbia, Vancouver British Columbia,",2508.36,0.0,3870.19,894.2,375.0,7647.75,Other expenses: Federal Provincial Territorial Conference fees
833,"To support the Minister for a British Columbia outreach and at the Federal Provincial Territorial Conference in Vancouver, British Columbia",2018-07-16,2018-07-20,"Vancouver, British Columbia",1010.99,62.62,1440.57,308.25,375.0,3197.43,Other expenses: Federal Provincial Territorial Conference fees
837,"To support the Minister for a British Columbia outreach at the Federal-Provincial-Territorial Conference in Vancouver, British Columbia",2018-07-16,2018-07-21,"Vancouver, British Columbia",750.6,29.36,1440.57,395.05,375.0,2990.58,Other expenses: Federal Provincial Territorial Conference fees
845,"To support the Minister for a British Columbia outreach and at the Federal Provincial Territorial Conference in Vancouver, British Columbia",2018-07-16,2018-07-20,"Vancouver, British Columbia",837.34,18.54,1440.57,308.25,375.0,2979.7,Other expenses: Federal Provincial Territorial Conference fees
1137,"Outreach to the Reasearch and Developpement Centre, All-Staff meeting and meeting with Provincial Counterparts.",2018-03-07,2018-03-09,"Manitoba, Winnipeg, Canada",824.26,136.28,312.18,203.5,0.0,1476.22,AJD997784
1140,Ivey Business School at Western University - Senior Public Sector Program Module 2,2018-04-04,2018-04-06,"London, Ontario. Canada",483.92,138.63,0.0,71.1,0.0,693.65,AJD924629
1151,To attend the Plant Protein Ingredients Summit,2019-05-30,2019-06-02,Saskatoon (saskatchewan) Canada,2961.69,60.82,365.86,318.4,0.0,3706.77,"Due to an error in booking, a refund will follow shortly."
1238,Attend Institute of Internal Auditors Conference,2019-09-13,2019-09-18,Toronto (ontario) Canada,0.0,261.15,652.23,211.1,2310.85,3435.33,Other expenses: Conference fee
1240,Attended the Canarie Summit 2019,2019-09-30,2019-10-02,Montréal (quebec) Canada,0.0,271.16,568.82,51.9,516.24,1408.12,Other expenses: Conference fee
1242,Visiting Farm Income Programs Directorate,2019-09-13,2019-09-13,Winnipeg (manitoba) Canada,817.14,97.72,0.0,20.1,0.0,934.96,Airfare credit was used to partially pay for the flight.  
1248,Attend meetings of Tri-National Conference and attend Outreach,2019-11-12,2019-11-14,Winnipeg (manitoba) Canada,989.46,52.46,302.5,162.65,450.0,1957.07,Other expenses: Conference fee
1282,Spoke at the GrowCanada conference and attended corporate and industry meetings ,2019-12-03,2019-12-06,Calgary (alberta) Canada,641.65,116.9,467.85,244.75,14.63,1485.78,An additional night was spent in a hotel due  to major flight delays
1376,To accompany the Minister to meet with Canola Stakeholders,2019-03-28,2019-03-30,"Saskatoon, Saskatchewan",1840.91,27.3,352.14,163.65,0.0,2384.0,This travel was entered in 2 transactions - Mileage missed on the fist one added with doc. # 19000146399
1551,To meet with the Chief Executive Officer of BHP and make an announcement,2022-06-11,2022-06-13,Saskatoon (saskatchewan) Canada,2808.02,0.0,193.22,98.7,0.0,3099.94,No Conference Fees
1553,To meet with the Chief Executive Officer of BHP and make an announcement,2022-06-12,2022-06-13,Saskatoon (saskatchewan) Canada,866.3,25.3,181.78,98.45,0.0,1171.83,No conference fee
1557,To meet with the Chief Executive Officer of BHP and make an announcement,2022-06-11,2022-06-13,Saskatoon (saskatchewan) Canada,1788.19,153.34,363.56,295.35,0.0,2600.44,No Conference Fees
1559,Drive the Minister from Ottawa back to her riding,2022-05-05,2022-05-05,Sherbrooke (quebec) Canada,0.0,6.0,0.0,54.4,0.0,60.4,No conference fee
1560,Drive the Minister from her riding to Ottawa ,2022-05-08,2022-05-09,Sherbrooke (quebec) Canada,0.0,6.0,121.38,76.3,0.0,203.68,No conference fee
1561,Drive the Minister from Ottawa back to her riding,2022-05-20,2022-05-20,Sherbrooke (quebec) Canada,0.0,6.0,0.0,54.4,0.0,60.4,No conference fee
1564,Drive the Minister from her riding to Ottawa ,2022-05-30,2022-05-31,Sherbrooke (quebec) Canada,0.0,6.0,121.38,76.3,0.0,203.68,No conference fee
1565,Drive the Minister from Ottawa back to her riding,2022-06-03,2022-06-03,Sherbrooke (quebec) Canada,0.0,6.0,0.0,54.4,0.0,60.4,No conference fee
1566,Drive the Minister from her riding to Ottawa ,2022-06-06,2022-06-07,Sherbrooke (quebec) Canada,0.0,6.0,192.13,76.3,0.0,274.43,No conference fee
1568,Drive the Minister from Ottawa back to her riding,2022-06-15,2022-06-15,Sherbrooke (quebec) Canada,0.0,6.0,0.0,22.15,0.0,28.15,No conference fee
1569,Drive the Minister from her riding to Ottawa ,2022-06-19,2022-06-20,Sherbrooke (quebec) Canada,0.0,6.0,121.38,76.3,0.0,203.68,No conference fee
